City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
taltal,44,CL,1554183756,100,-25.41,-70.49,52.28,1.07
lugo,32,ES,1554183541,100,43.01,-7.56,46,4
sirumugai,20,IN,1554181200,52,11.32,77.01,87.8,3.36
oussouye,48,SN,1554183184,89,12.49,-16.54,70.01,17.96
kyabe,20,TD,1554183757,37,9.45,18.94,80.36,5.77
nakkila,0,FI,1554182400,69,61.37,22,33.8,6.93
xam nua,12,LA,1554183758,70,20.42,104.04,76.94,2.19
doha,32,QA,1554181200,60,25.29,51.53,71.6,19.46
lorengau,68,PG,1554183222,94,-2.02,147.27,84.23,12.26
severo-yeniseyskiy,92,RU,1554183758,65,60.37,93.04,33.38,10.69
neuquen,0,AR,1554181200,27,-38.95,-68.06,75.2,11.41
tateyama,75,JP,1554183616,93,36.66,137.31,43,4.7
ust-barguzin,0,RU,1554183758,57,53.41,109.03,37.7,8.23
ustyuzhna,0,RU,1554183759,86,58.84,36.43,29.24,6.55
nhulunbuy,75,AU,1554183000,94,-12.18,136.78,77,9.17
sarankhola,0,BD,1554183759,50,22.31,89.79,93.59,13.04
hirara,75,JP,1554181200,56,24.8,125.28,71.6,17.22
antofagasta,75,CL,1554181200,72,-23.65,-70.4,62.6,2.24
muroto,40,JP,1554181200,37,33.37,134.14,55.4,10.29
mookane,88,BW,1554183760,100,-23.68,26.66,63.08,11.48
dubbo,0,AU,1554183760,76,-32.25,148.6,69.92,13.49
savonlinna,0,FI,1554183605,78,61.87,28.88,33.01,5.82
hovd,0,NO,1554183615,80,63.83,10.7,37,14.99
cockburn town,0,TC,1554183740,100,21.46,-71.14,77.03,13.82
loukhi,0,RU,1554183761,82,66.08,33.04,31.76,6.78
haines junction,0,CA,1554183761,83,60.75,-137.51,25.55,3.76
dingle,36,PH,1554183237,72,11,122.67,81.8,12.37
salinas,75,US,1554183759,77,36.67,-121.66,60.01,8.05
monrovia,20,LR,1554181200,94,6.33,-10.8,77,3.36
agua prieta,1,MX,1554183756,30,31.32,-109.55,57.99,3.36
chicama,40,PE,1554181200,88,-7.84,-79.15,68,9.17
hamina,0,FI,1554183585,86,60.57,27.2,33.01,6.93
linxi,75,CN,1554181200,56,23.65,116.7,71.6,6.71
lagoa,0,PT,1554183127,93,37.14,-8.45,55,5.82
kavieng,32,PG,1554183193,100,-2.57,150.8,82.25,5.77
palestina,75,EC,1554183132,88,-1.63,-79.98,77,3.36
cabedelo,75,BR,1554181200,94,-6.97,-34.84,75.2,3.36
namibe,0,AO,1554183277,100,-15.19,12.15,79.19,6.44
lusambo,0,CD,1554183764,91,-4.97,23.44,75.95,2.98
maumere,20,ID,1554183764,100,-8.63,122.22,84.59,2.19
borogontsy,64,RU,1554183764,61,62.67,131.17,34.46,4.09
barinitas,0,VE,1554183764,87,8.76,-70.41,65.24,2.19
nago,68,IT,1554183760,66,45.88,10.89,57,3.36
pirovskoye,76,RU,1554183765,76,57.63,92.27,38.6,7.9
tutoia,88,BR,1554183765,99,-2.76,-42.27,75.05,5.44
ayorou,0,NE,1554183765,31,14.73,0.92,75.14,4.99
karsiyang,64,IN,1554183766,100,26.88,88.28,60.38,0.96
kadhan,0,PK,1554183766,27,24.48,68.99,100.61,5.1
daru,24,SL,1554183766,96,7.99,-10.85,72.98,2.98
castro verde,90,PT,1554183729,100,37.7,-8.08,52,3.36
gilgit,8,PK,1554183766,89,35.92,74.31,28.16,0.18
puri,92,ID,1554183767,86,-7.54,112.45,78.56,3.98
pevek,0,RU,1554183180,74,69.7,170.27,28.61,17.74
boone,1,US,1554183618,73,36.22,-81.67,39,2.98
alvorada,0,BR,1554183697,88,-30,-51.08,71.6,4.7
sheltozero,24,RU,1554183768,86,61.37,35.37,28.43,13.15
karasjok,90,NO,1554182400,63,69.47,25.52,30.2,23.04
richards bay,92,ZA,1554183768,99,-28.77,32.06,63.44,10.25
sinnamary,64,GF,1554183769,98,5.38,-52.96,79.1,10.69
krasnaya gora,0,RU,1554181200,92,53.01,31.6,30.2,6.71
warri,0,NG,1554183715,93,5.52,5.75,77.48,4.21
shingu,40,JP,1554181200,37,33.72,135.99,53.6,16.11
dali,44,CN,1554183769,51,25.6,100.24,66.95,4.76
sawakin,0,SD,1554183339,78,19.1,37.33,70.46,6.11
bara,0,NG,1554183216,25,10.41,10.6,73.25,9.57
dunedin,76,NZ,1554182868,74,-45.87,170.5,53.01,5.99
the valley,20,AI,1554183169,74,18.22,-63.06,78.8,11.41
sitarganj,0,IN,1554181200,41,28.92,79.7,78.8,2.24
bogale,0,MM,1554183770,55,16.29,95.4,93.5,3.76
deputatskiy,0,RU,1554183250,78,69.3,139.9,17.36,8.68
winneba,20,GH,1554181200,94,5.35,-0.62,80.6,9.17
evanston,90,US,1554183741,65,42.04,-87.69,44.01,9.17
thurso,20,GB,1554183309,80,58.6,-3.52,39.99,5.82
caraballeda,40,VE,1554183032,88,10.61,-66.85,73.4,10.25
praia,0,BR,1554181200,88,-20.25,-43.81,66.2,3.36
kendari,76,ID,1554183772,89,-3.99,122.52,81.98,4.32
elko,75,US,1554183203,87,40.83,-115.76,48.2,1.3
kutum,0,SD,1554183295,24,14.2,24.66,64.43,11.81
tigil,64,RU,1554183334,88,57.8,158.67,34.1,7
cascais,20,PT,1554183719,93,38.7,-9.42,53.01,2.24
bukene,8,TZ,1554183773,100,-4.23,32.89,68.21,4.65
half moon bay,90,US,1554183769,87,37.46,-122.43,57.2,5.66
lebanon,1,US,1554183728,58,43.64,-72.25,28.4,5.82
maraba,0,BR,1554181200,100,-5.35,-49.1,77,4.99
santiago del estero,100,AR,1554183622,99,-27.8,-64.26,69.83,9.35
ondjiva,44,AO,1554183775,61,-17.07,15.73,71.63,10.02
abha,40,SA,1554181200,67,18.22,42.5,62.6,12.75
nantucket,1,US,1554183606,58,41.28,-70.1,41,4.21
victor harbor,0,AU,1554183685,27,-35.55,138.62,82,10.29
tual,92,ID,1554183776,100,-5.67,132.75,77.03,12.82
kargil,8,PK,1554183240,88,34.56,76.13,12.86,1.86
slave lake,75,CA,1554181200,74,55.28,-114.77,33.8,9.17
nakhon phanom,40,LA,1554181200,49,17.4,104.79,91.4,4.7
yulara,0,AU,1554181200,9,-25.24,130.99,86,9.17
san jose,0,PH,1554183636,57,15.79,120.99,84.95,4.43
xining,92,CN,1554183777,29,36.62,101.77,47.24,4.65
mtimbira,92,TZ,1554183777,99,-8.78,36.35,70.19,1.19
hazelwood,1,US,1554183595,73,38.77,-90.37,45,8.46
jhinjhak,0,IN,1554183778,27,26.58,79.75,96.11,4.54
matay,0,EG,1554183778,39,28.42,30.79,57.95,4.65
san patricio,56,PY,1554183778,84,-26.98,-56.83,71.72,2.19
dongsheng,100,CN,1554183778,100,29.72,112.52,53.99,8.57
pochutla,5,MX,1554183139,74,15.74,-96.47,78.8,5.66
nancha,0,CN,1554183779,30,47.14,129.26,39.86,5.44
nishihara,75,JP,1554183746,34,35.74,139.53,55.99,12.75
antalaha,36,MG,1554183779,88,-14.9,50.28,80.99,3.98
ambatondrazaka,32,MG,1554183779,76,-17.82,48.43,74.06,1.97
ixtapa,5,MX,1554183607,94,20.71,-105.21,75,2.3
honningsvag,40,NO,1554180600,80,70.98,25.97,30.2,16.11
sundargarh,0,IN,1554181200,15,22.12,84.04,96.8,2.24
port hedland,0,AU,1554181200,44,-20.31,118.58,93.2,11.41
bartica,0,GY,1554181200,100,6.41,-58.62,71.6,4.7
oistins,40,BB,1554181200,73,13.07,-59.53,77,14.99
lyngseidet,90,NO,1554183683,79,69.58,20.21,30.99,13.87
kropotkin,92,RU,1554183016,84,45.43,40.58,45,8.79
dubti,0,ET,1554183781,57,11.74,41.09,79.28,5.21
bereda,90,ES,1554183241,81,43.27,-7.54,54,6.93
calama,0,CL,1554181200,57,-22.46,-68.93,50,9.17
lata,0,IN,1554183782,50,30.78,78.62,61.1,1.63
coihueco,0,CL,1554181200,72,-36.63,-71.83,60.8,11.41
scarborough,92,GB,1554183782,93,54.28,-0.41,42.01,4.7
ngorongoro,64,TZ,1554183783,93,-3.24,35.49,62.81,3.53
mocuba,12,MZ,1554183783,67,-16.84,36.99,73.79,4.21
olavarria,32,AR,1554183608,90,-36.89,-60.32,68,42.01
sidi ali,0,DZ,1554183783,89,36.1,0.42,43.46,2.75
santa vitoria do palmar,32,BR,1554183783,92,-33.52,-53.37,63.35,5.55
